"","Year","Hatchery_N","Hatchery_RS","Wild_N","Wild_RS","RRS","P_value"
"1","2004",32,56.65625,33,100.909090909091,0.561458333333333,0.00024022183578253
"2","2005",81,17.037037037037,47,26.5106382978723,0.642649069615362,0.000238199403814802
"3","2006",90,28.4666666666667,43,73.8604651162791,0.385411418975651,2.07491803993177e-08
"4","2007",44,15.9545454545455,16,28.125,0.567272727272727,0.0468220788786501
"5","2008",99,19.979797979798,27,52.8888888888889,0.377769289533995,1.18661855009176e-07
"6","2009",44,19.4545454545455,33,29.969696969697,0.649140546006067,0.00453310603254068
"7","2010",55,16.5454545454545,29,22.9310344827586,0.721531100478469,0.15773552168642
"8","2011",28,11.4642857142857,30,16.2333333333333,0.7062188325022,0.121467613838085
"9","2012",17,7.23529411764706,24,5.17391304347826,1.39841819080573,0.163930539297815
"10","2013",2,12,43,10.7209302325581,1.11930585683297,0.652861730229002
